x;y;radius;error
1958;2040;1849;197.61952908833823
1954;2034;1843;160.09926068782806
1955;2036;1841;143.52466416358948
1959;2039;1848;203.44863843917847
1957;2036;1844;148.28352930148444
1955;2034;1843;160.95702777306238
1957;2038;1841;143.3290275732676
1959;2036;1849;195.61066526174545
1957;2037;1842;142.82002395391464
1957;2036;1842;153.34239345788956
1956;2033;1842;180.2269284327825
1955;2035;1846;138.32990765571594
1955;2040;1846;167.11183122793832
1956;2035;1844;150.477113644282
1959;2041;1846;216.30473810434341
1955;2038;1841;135.54087736209235
1952;2034;1845;164.39046160380045
1959;2041;1842;214.52086951335272
1951;2041;1841;214.67084487279257
1955;2038;1845;127.014865676562
1955;2035;1844;143.99420837561289
1957;2038;1844;140.4695309996605
1959;2041;1844;214.71908432245255
1955;2037;1847;121.60155351956685
1959;2033;1846;225.45474410057068
1952;2039;1844;162.6995603044828
1956;2040;1845;167.3996057510376
1957;2039;1849;174.37319137652716
1958;2034;1847;195.27080845832825
1957;2033;1846;194.665452003479
1958;2040;1843;185.07421431938806
1951;2033;1841;193.0812209645907
1958;2035;1843;182.240094880263
1956;2034;1846;165.42975970109305
1955;2036;1844;128.89025714000067
1953;2036;1847;126.98558841149013
1954;2036;1843;137.01264321804047
1959;2040;1842;201.2192277709643
1958;2041;1848;204.7393683195114
1956;2039;1844;145.38525493939719
1954;2034;1846;153.9241382877032
1951;2040;1843;192.56909708182016
1958;2033;1846;209.3903971115748
1957;2041;1848;193.60530976454416
1956;2038;1844;127.88156843185425
1955;2040;1844;164.12123360236487
1959;2037;1846;185.29169275363287
1954;2033;1845;172.71849431594214
1956;2037;1844;123.7276765902837
1954;2038;1845;130.30801379680634
1953;2038;1848;148.2395888964335
1953;2033;1844;174.81737116972604
1957;2035;1842;165.92220516999564
1959;2034;1842;211.50638918081918
1958;2041;1841;200.93449433644614
1952;2038;1847;151.92149060964584
1951;2040;1842;197.44229569037756
1958;2034;1845;194.88158039251962
1957;2036;1841;156.34054305156073
1955;2036;1842;138.71114820241928
1951;2033;1843;189.34153280655542
1956;2035;1847;146.52270863453546
1952;2039;1848;171.71531331539154
1955;2035;1842;149.4683516820272
1954;2036;1841;149.7940597931544
